track,artist,final_emotion,reason,lyrics
Sluts In The City,gg allin & cedar street sluts,fear,Track was not found,
spatter (07222010),The Glowing Garden,fear,Track was not found,
Convoking Her Blackest Nihility,Cacogen,fear,Track was not found,
Water Makes it Worse,:lore,fear,Track was not found,
Magnetic Writhings from Beneath Waves,Cacogen,fear,Track was not found,
Anxiety,清田愛未,fear,Track was not found,
Leeming Through Black Branches,Cacogen,fear,Track was not found,
Hoarfrost on Every Blade and Leaf,Cacogen,fear,Track was not found,
Devouring Souls,Frozen Herd,fear,Track was not found,
Bleeding,Adam Frost,fear,Track was not found,
The Kitchen and The Orgy,Basil Poledouris,fear,Track was not found,
Natasha Goes Down The Wrong Slope,Subversive Intentions,fear,Track was not found,
Grey And Castles,Cynthia Dall,fear,Track was not found,
Phrekazyd,krovo,fear,Track was not found,
Wandering Beneath a Winter Moon Radiating a Dim Purple Glow Which I Alone Can Perceive,Cacogen,fear,Track was not found,
I shall lie very still in the mud and save all the strength I can,Cacogen,fear,Track was not found,
When Evening Falls (early lyrics),The Soundrops,fear,Track was not found,
Tryp,krovo,fear,Track was not found,
im NOT jacque,Cacogen,fear,Track was not found,
at the mercy of amygdala,chronon,fear,Track was not found,
Woodghost,"Why Insects, Why?",fear,Track was not found,
Seduction (Part 2),Graeme Revell,fear,Track was not found,
Our Lethargic Procession Through Moribund Reality,Cacogen,fear,Track was not found,
self-smear campaign,Cacogen,fear,Track was not found,
Mars : The Bringer of War,Gustav Holst,fear,Track was not found,
refusing a ride home from work,Cacogen,fear,Track was not found,
Bill Nye Theme,Mudhoney,fear,Track was not found,
Weather Made 1,Kaffe Matthews,fear,Track was not found,
Diskyder,krovo,fear,Track was not found,
Unmesked,krovo,fear,Track was not found,
stealing free samples while at work,Cacogen,fear,Track was not found,
The Border Between Light And Dark,Skim,fear,Track was not found,
I think you might be racist,Cacogen,fear,Track was not found,
"Burrowing Deep Down into the Swamp, All the Way to the Center of the Earth, Nestled in the Stomach of a Colossal Black Weather Loach",Cacogen,fear,Track was not found,
Aboard the Starship Clefairy,Cacogen,fear,Track was not found,
Jean-Fran,灰野敬二,fear,Track was not found,
Evil Lyn,Zenith,fear,Track was not found,
Frayed Wires Long to Be Touched,Cacogen,fear,Track was not found,
"Theme From 'Gary, The Silent Octopus'",The Skeet Ramsey Free Jazz Trio,fear,Track was not found,
F.E.#13 2B Untitled - U.T. Remix,Utamoh Thumo,fear,Track was not found,
Maestoso - Allegretto,Edward Cree,fear,Track was not found,
Ominous Kingdom,Ripoff,fear,Track was not found,
"Symphony No. 7, in A Major, Op. 92, II, Allegretto",Ludwig van Beethoven,fear,Track was not found,
"Cello Suite No. 5 in C, BWV 1011 I. Prelude",Mstislav Rostropovich,fear,Track was not found,
the driver of the bus on an escalator,a finely-tailored jitbag,fear,Track was not found,
"""She Wouldn't Even Know It Was Me""",Cacogen,fear,Track was not found,
Humanity (part II),Ennio Morricone,fear,Track was not found,
Basic Instinct Main Title,Theme Songs,fear,Track was not found,
s.v.m.d.,Utamoh Thumo,fear,Track was not found,
Endless (DGE Remix),PrFabio,fear,Track was not found,
natura inorganica- quinto movimento,Nico Mangifesta,fear,Track was not found,
Terraforming,Zenith,fear,Track was not found,
"The World's Gone Mad (feat. Barrington Levy, Del Tha Funkee Homosapien & Alexander Kapranos)",Handsome Boy Modeling School,fear,Track was not found,
Motherfucker=redeemer,Godspeed You Black Emperor!,fear,Track was not found,
Timebomb [Original Mix Remastered],Rabbit In The Moon,fear,Track was not found,
Rain,David & Stephan Rippy,fear,Track was not found,
Stäng alla dörrar och fönster,Franke,fear,Track was not found,
World of Fantasy (feat. Digital Blasphemy),Razor Edge,fear,Track was not found,
natura inorganica- quarto movimento,Nico Mangifesta,fear,Track was not found,
Symphony N. 9 (New World) - 1. Adagio; Allegro molto,"London Symphony Orchestra, Eugene Ormandy",fear,Track was not found,
