track,artist,lyrics
new york girls,steeleye span,"As I walked down through Chatham Street
A fair maid I did meet.
She asked me to see her home,
She lived in Bleeker Street.

Chorus (after each verse):
And away you Santi,
My dear honey,
Oh you New York girls,
Can't you dance the polka?

And when we got to Bleeker Street,
We stopped at forty four.
Her mother and her sister there
To meet her at the door.

And when I got inside the house,
The drinks were passed around.
The liquor was so awful strong,
My head went round and round.

And then we had another drink
Before we sat to eat.
The liquor was so awful strong,
I quickly fell asleep.

[Ah, come on, Min, play that modern banjo, Min]

When I awoke next morning,
I had an aching head.
There was I Jack-all-alone,
Stark naked in my bed.

My gold watch and my pocket-book
And lady friend were gone.
And there was I Jack-all-alone,
Stark naked in my room.

On looking round this little room,
There's nothing I could see,
But a woman's shift and apron
That were no use to me.

With a flour barrel for a suit of clothes
Down Cherry Street forlorn,
There Martin Churchill took me in
And sent me round Cape Horn.

[I say, are you a matelote? Careful what you say, sir - we're on board ship here.]"
next time around,emilíana torrini,"Then came question and it was about time
The answer came back and it was long
The house it was built by so men in rhyme
But whatever came of his talented son

Who wrote me a dialogue set a tune
Always you told me of being alone
Except for the stories about God and you
And do you still live there, in Buffalo

They put up the walls, no more to say
Nobody stopped to ask why it was done
The stream was too far and the rains to high
So into the city the river did run
Because of the architect the buildings fell down
Smothered and drowned all the seeds that you sowed
I wish I was somewhere but not in this town
Maybe the ocean next time around

I seem to remember the face and the name
But if it's not you I don't care
I know of changes, but nothing would change you
To Theo the sailor who sings in his lair

Then I'll turn and he won't be there,
Dusky black windows to light the dark stair
Candles will nod in the musty air
Oh, with the flames for as many as the years"
nietzsche,the dandy warhols,"Dandy warhols: nietzsche

I want a god who stays dead, not plays dead.
I, even i, can play dead.
I want a god who stays dead, not plays dead.
I, even i, can play dead.
I want a god who stays dead, not plays dead.
I, even i, can play dead."
night air,jamie woon,"Night air has the strangest flavor
Space to breathe it, time to savor
All that night air has to lend me
Till the morning makes me angry

In the night air, in the night air
In the night air, in the night air

I've acquired a kind of madness
Daylight fills my heart with sadness
And only silent skies can soothe me
Feel that night air flowing through me

In the night air, in the night air
In the night air, in the night air

I don't need those car crash colors
I control the skies above us
Close my eyes to make the night fall
The comfort of the world revolving
I can hear the earth in orbit

In the night air, in the night air
In the night air, in the night air

I've acquired a taste for silence
Darkness fills my heart with calmness
And each thought like a thief is driven
To steal the night air from the heavens

In the night air, in the night air
In the night air, in the night air
In the night air, in the night air
In the night air, in the night air
In the night air, in the night air
In the night air, in the night air
In the night air, in the night air"
night train,amos lee,"I've been workin' on a night train
Drinkin' coffee takin' cocaine
I'm out here on my night train
Tryin' to get us safely home

Well in a little country station
Somewhere out in the midwest
I see the people out there waiting
Heart beating in my chest

And I'm thinking 'bout a woman
Who I put no one above
I'm not lookin' to replace her
Just need someone to love

While I'm out here on my night train
Drinkin' coffee takin' cocaine
I'm out here on my night train
Trying to get her safely home

Well I'm livin' in the city
Where the noise it never stops
Hammers pounding on the pavement
Whitles from traffic cops

Nobody looks you in the eye here
Walkin' 'round with clenched fists
I been searchin' for a simple place
Don't know if it exists

Sunrise out there callin' my name
I can see her movin'
I can see her movin'

Well at a certain time of night now
I become one with the wind
Where there isn't a beginning
And there is no end

Oh and everything is flowing
Everything is on time
I know that we're all going
To the end of the line

And I'm out here on my night train
Drinkin' coffee takin' cocaine
I'm out here on my night train
Trying to get her safely home

Yeah I'm out here on my night train
Drinkin' coffee takin' cocaine
I'm out here on my night train
Trying to get safely home
Trying to get safely home
Trying to get safely home"
nightbird,stevie nicks,"And the summer became the fall
I was not ready for the winter
It makes no difference at all
'Cause I wear boots all summer long

My eye-make-up is dark and it's careless
Some circles around my eyes
Sometimes the real color of my skin
Is my eyes without any shadow

And when I call
Will you walk gently
Thru my shadow
The ones who sing at night
The ones who sing at night
The ones you dream of
The ones who walk away
Capes pulled around them tight
Cryin' for the night
Cry for the nightbird... tonite

And so the winter is really here now
And the blankets that I love
I am surrounded sometimes
By too much love

And when I call
Will you walk gently
Thru my shadow
The ones who sing at night
The ones who sing at night
The ones you dream of
The ones who walk away
Capes pulled around them tight
Cryin' for the night
Cry for the nightbird... tonite

And the darkened eyes
Thru the net of the lace
In the darkness
It's hard to see her face
Pulls back the net
And you feel the touch
Of her fingers
And you see... she turns the eyes
And you see the eyes of a nightbird
The ones you dream of
Finally... the nightbird
Finally... the nightbird
Tonite"
nightcall,london grammar,"I'm giving you a nightcall
To tell you how I feel
I'm gonna drive you through the night
Down the hills
I'm gonna tell you something
You don't want to hear
I'm gonna show you where it's dumped
But have no fear
There's something inside you
It's hard to explain
There's something inside you boy
But you're still the same
I'm giving you a nightcall
To tell you how I feel
I'm gonna drive you through the night
Down the hills
I'm gonna tell you something
You don't want to hear
I'm gonna show you where it's dumped
But have no fear
There's something inside you
It's hard to explain
You're talking about you boy, but
You're still the same
Eh, yeah yeah
Tell you how
Tell you how
Tell you how, oh
I'm giving you a nightcall
To tell you how I feel
I'm gonna drive you through the night
Down the hills
I'm gonna tell you something
You don't want to hear
I'm giving you a nightcall
To tell you how I feel and how I feel"
nightingale,laura veirs,"Nightingale sing
Though it's blacker than the bog
Nightingale sing to me
I need to hear your song
Nightingale come
And perch upon my tree
A terrifying light's
Been flashing over me

I would not bear to rest
I could not dare to dream
Til the nightingale came
And sang a song for me

She'll sing above the blasts
And the clothing singed by fire
She'll sing above the black smoke
Rising from the funeral pyre
Her heart a field in bloom
Her heart a sacred snow
Her heart a mirror blinding
All the greedy as they go

I would not bear to rest
I could not dare to dream
Til the nightingale came
And sang a song for me

I cannot help but want
To solder all the parts
Solder back together
All the shattered hearts
Nightingale come
And perch upon my tree
The terrifying night's
Been crashing over me

I would not bear to rest
I could not dare to dream
Til the nightingale came
And sang a song for me"
nihilist,architects,"We are beggars, we are so fucking weak
And once upon a time we had the world at our feet
Well, we're all dying to meet our maker
But all our gods have abandoned us

All our gods have abandoned us
This is the great esoteric depression
We sold our souls, but couldn't buy salvation

We are all the shades of misery
The reigning champions of tragedy
They use their faith as a weapon, they count our sins by the seven
Blackwater at the gates of heaven
All hail the corporatocracy
The word of god written in binary
All hail our apostasy
The dying notes in an unholy symphony

All our gods have abandoned us
This is the great esoteric depression
We sold our souls, but couldn't buy salvation

I found god clutching a razor blade
He said, ""Look at the fucking mess they've made
They'd trade their hearts if they were made of gold""

We are beggars, we are so fucking weak
And once upon a time, we had the world at our feet
Well, we're all dying to meet our maker
But all our gods have abandoned us

All our gods have abandoned us
All our gods have abandoned us

I found god clutching a razor blade
He said, ""Look at the fucking mess they've made
They'd trade their hearts if they were made of gold
But they're as worthless as the souls they sold"""
nirvana,adam lambert,"When the stars are too cold
Frozen over the glow
On the edge of the night
We can be their light
So give me more than your touch
And give yourself to the rush
Just keep holding my hand
As we're taking off
I know where we'll land

We can escape to a higher plane
In Nirvana stay
Where the dreamers lay
I'll lay you down, lay you down
Safe on a higher plane
In Nirvana stay
Where the dreamers lay
I'll lay you down, lay you down

Through the dark there's a way
There's a love, there's a place
Where we don't have to hide
We can dream all night
So follow me through the sky
And watch the oceans collide
Just keep holding my hand
As we're taking off
I know where we'll land

We can escape to a higher plane
In Nirvana stay
Where the dreamers lay
I'll lay you down, lay you down
Safe on a higher plane
In Nirvana stay
Where the dreamers lay
I'll lay you down, lay you down

Oh, we don't need any diamonds or gold
Watch the mystic and cryptic unfold
As we fly high

Oh ey, ey, ey ey

We can escape to a higher plane
In Nirvana stay
Where the dreamers lay
I'll lay you down, lay you down
Safe on a higher plane
In Nirvana stay
Where the dreamers lay
I'll lay you down, lay you down

Yeah, I'll lay you down, lay you down
I'll lay you down, lay you down"
no bad news,bonnie 'prince' billy,"Trouble, more trouble can you get anymore
Slow bubble boiling on the bedroom floor
Lonely ain't lonely, someone calling at the door
Someone lovely and she's bringing bad news

She clenches and she cries and she lays on the stairs
Pounding on the earth and yanking at her hairs
And showing such fear at being found unawares
To be here and be bringing bad news

Well, something bad happens and a lot of people go
Bad themselves, that's how awful it is
Turning half the heart into something hard and dark
And she had to bring here this

Well, she's told, ""Hold your buttons and look at the sky
Someone will fix things if you let your face dry
Keep your face near the earth and your heart beat high
And you may transcend the bad news""

Well, something bad happens and a lot of people go
Bad themselves, that's how awful it is
Turning half the heart into something hard and dark
And she had to bring here this

For all hammers and nails
For all leaves and winds
For all love ambitions
And enemies and friends

She shakes her face so fiercely that all her features go
She lays like a monkey unclothed in the snow
And her voice it decays and before it does she goes,
""I will never again deliver bad news""

Something bad happens and a lot of people go
Bad themselves, that's how awful it is
Turning half the heart into something hard and dark
And she had to bring here this

Mm, hey little bird – hey little bird
Thank you for not letting go of me when I let go of you
Hey little bird – hey little bird
Thank you for not letting go of me when I let go of you
(Hey little bird – hey little bird)
Thank you for not (letting go of me when I let go of you)"
no control,311,"Do you want me to cry?
Cry for you
How can you say 
That you're blue?
A rich rock star you are
Yet you still complain
That's insane
Imagine if you
Had a child of two
You're a single mom
Son named Tom
You work a long hard day just to bill pay
With no time to play then what would you say
Still in this world and what it means to me
Losin' my grip as I trip on anomalies
My third eye is the prize of unifyin' Horus
The Pleadies will smash out of Taurus
Energy pure decompose in the porous
Soil of life moving on it's courses
Crystals 'neath the surface radiate the cycle
Combing minerales they will flex and let go
Toxically were built to never last
Cuz the waste we make all day
Steady growin' fast
I get up intake my blue-green algae
Let it penetrate in
Strengthen my grasp
Holistic healers dealin' our galactic growth
Reversin' fx of shit wrecked Chernobyl
Wanna take it further?
Let's take that funk further
Wanna take it further?
Let's take that love further

We've all got pain that's real
We should say how we feel
And I've felt so alone
But I know I've always got a home
The question I'm upserving
Is am I really deserving

Gamma waves bacterial plagues
Cow mutilations all the time
Not to mention visitations
More than 2000 years
Of fuckin' with our fears
The only thing true
We gotta love each other
Try to leep a positive vibe
They make it tough for ya
You're cut off and lonely
While you hustle for dough
We can overcome the wrongs
While we're reachin' the point
Stick together all forever
Now continue to flow
Wanna take it further
Let's take that funk further
Wanna take it further
Let's take that love further"
no expectations,soulsavers,"Take me to the station
Put me on a train
I've got no expectations
To pass through here again

Once I was a rich man
Now I am so poor
But never in my sweet short life
Have I felt like this before

Your heart is like a diamond
You throw your pearls at swine
And as I watch you leaving me
You pack my peace of mind

Our love was like the water
That splashes on a stone
Our love is like our music
It's here and then it's gone

So take me to the airport
And put me on a plane
I've got no expectations
To pass through here again"
no hope,cults,"Calm sort of feeling
They're all turned to gray
The days much colder
And there's not much left to say
Tried to stop from shaking
Want to feel you close
You kept your distance
When I needed you the most
The sun was bright,
It never shined
I know you're mine
But still I cry
It makes no difference
If you turn away
No hope for me now
Better off that way
Only left a moment
That's all it took
No sound for me now
Foundation shook
Burned down the bridges
Burned down the town
Forget tomorrow,
No one's around
Searched all the ditches
And all the sounds
That's why tomorrow
Won't come around
The sun was bright
It never shines
I know you're mine
But I still I die
There's no...hope
No....hope..
No....hope..
For the wicked inside myself
No..hope [x3]
For the the wicked or the good
No..hope [x3]
For the wicked inside myself
No..hope [x3]
For the wicked or the good"
no love,death grips,"How the trip never stops
On and on, it's beyond insane
Why I set myself up
In a raging sea of flames?

You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a-

Never not on it, leanin' so hard you're ashamed
You can't dismiss this sick transmission, huffs your brain
Exhale your will and forget I ever knew you
Fuck do you do?
Fuck a man with hips for hulu
Rack a snitch, chalk and cue you
Corner pocket consume you
Too many hoes in my
Too many hoes in my motherfuckin' meal
Asking if I know how a motherfucker feels

How a motherfucker feels
Slit them choke, flip them boat
Dead bitch float, swollen corpse
No remorse, navigated off course
Of course I can make you scream but if you ask for more
Bullshit, matador, grab the floor, whip it cracked to all fours
You whimper while I check my phone
Who's next? Assassin roam
Music drifts, I have no home
Choose this life you're on your own

You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a-

Swallowed way too much
Couldn't handle it, I fell
Down a spiral stair case winding to hell

Fuck it, now I can't quit, will never be the same
I got that attitude, you got no thang
I'm fit to hurt you; gives a fuck about the way I move weight?
Dark matter, flu state of consciousness
Blew straight through you won't do shit
But beg me to do this
Again and again and again and again (no love, no love)
Strangler clutch, sine wave deconstruct
My way or no way, bangin' hey makin' lust
Lucid nut shake shake it up

Booyakah
You're a bitch made to be crushed
Came like, what?
Now you crave my touch
Flat busted on front street cake cuppin'
Say you wasn't lion mane
I done been done with tame
Head hunter, fuck the fame
Switch lanin' ripper slangin'
Hit me nuclear wind at my back
Smokin' goldfish at the photo mat
Load my clap clap can't trust 'em never did
What it is?

You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a beatdown
Madness, chaos in the brain
Let my blood flow, make my blood flow through you, mane
You got no business questioning a thang
You're fit to learn the proper meaning of a b-"
no man's land,alice cooper,"I got a job in Atlanta in a mall playing Santa
Not because of any talent
But because I was the only one the suit would fit
Everybody's shopping, little sticky kids were hopping
On my lap with their fingers in my beard
I guess they thought that I was really it
She sat down on my lap and said to me
""I'm twenty three and I need someone
You look like someone who could play with me
Stay with me, all day with me""
'Cause I'm in no man's land
Can't seem to find a real man
You know I'm lookin' for a steel man
She said I'm in no man's land
I'm gonna show you a real good time
I'd gladly pay you double overtime
She was beggin' to be mine
But my job was on the line
Should I say or should I go?
Oh, I just didn't know
I left fifty kids standin' in line
They were whining, they were crying
And their mothers they were screaming in hysterics
And I swear I never heard such profanity
I dropped my suit on the floor
They were trying to block the door
They were calling her a whore
They were driven to nativital insanity
We drove away in her Mercedes Benz
Dirty blond split ends in the breeze
She said ""I want to put you under my tree
You're just a little gift from me to me""
'Cause I'm in no man's land
Can't seem to find a real man
You know I'm lookin' for a steel man
She said I'm in no man's land
You know I'm ready for a real good time
I'd gladly pay you double overtime
She had money all her life
She wasn't lookin' to become my wife
She said ""I hope you understand
I just want a nightful of man, Sonny""
She didn't notice I was thin with a delicate chin
Nor the softness of my skin, nor the scent of my other personalities
She didn't see through my disguise, didn't see it in my eyes
She was in for a surprise when she discovered my emotional plurality
She said ""Come and lay down on the floor with me
It's warmer here by the fire""
She didn't know that there was more of me
She'd have to learn to love all four of me
'Cause I'm in no man's land
I'm lookin' for the real me
If only I could feel me
You know I'm in no man's land
Sometimes I gotta play me
It's really hard to stay me
Hey, I'm in no man's land
I'm looking for the real me
If only I could feel me
You know, I'm in no man's land
Sometimes I gotta play me
It's really hard to stay me
Oh, I'm in no man's land
I'm looking for the real me
If only I could feel me
No, no, no, I'm in no man's land"
no matter what,great white,"No matter what you are
I will always be with you
'Cause no matter what you do, girl
Ooh girl, with you

No matter what you do
I will always be around
Won't you tell me what you found, girl?
Ooh girl, won't you?

Knock down the old gray wall
And be a part of it all
Nothing to say, nothing to see
Nothing to do

If you would give me all
As I would give it to you
Nothing would be, nothing would be
Nothing would be

No matter where you go
There would always be a place
Can't you see it in my face, girl?
Ooh girl, won't you?

Knock down the old gray wall
And be a part of it all
Nothing to say, nothing to see
Nothing to do

If you would give me all
As I would give it to you
Nothing would be, nothing would be
Nothing would be

No matter what you are
I will always be with you
'Cause no matter what you do, girl
Ooh girl, with you
Ooh girl, ooh girl, won't you?
Ooh girl, you girl, won't you?"
no mercy,l.a. guns,"Come on Jane, I wanna hold ya tight, yeah
Give ya love, make you feel alright, yeah
I say the things that you wanna hear
I'm gonna whisper in your ear

Show no mercy
Show no mercy
Show no mercy

But, did you think you were the only one?
Just a victim of a love and run
Lonely heart and a woman in black
I broke your heart and I ain't coming back

And I'm sorry, if I broke your dream
Watch your life come apart at the seam
I know it ain't fair
I broke your heart, yeah, yeah

Show no mercy
Show no mercy
Show no mercy

I'll be standing in the shadows of love

Hey yeah, so I'm indiscreet
Shattered dolls and a fait accompli
I wonder why, why I keep up the chase?
I'm just a fool for a pretty face

Show no mercy
Show no mercy
Show no mercy"
no more,heidi montag,"Bridgetown

You, you, you, you, you tried, boy
You tried to blame it on me
At first, it worked, I was feeling so guilty
You said, you said I was the reason why
We couldn't work out, but that was all a lie

You never gave me what I gave you, boy
But it's your loss, 'cause you made the choice
To walk out, but you want me back around
I wish that I never loved you, never loved you

I should have never let you have my heart
You made me not wanna feel again
Made me scared to open up, but
Now I'm better off, no more bad days
Don't need you to validate me

No more (I don't need you)
No more (I don't need you)
No more (I don't need you)
No more (I don't need you)

No more (I don't need you)
No more (I don't need you)
No more (I don't need you)
No more (I don't need you)
No more

You made me, made me think we had something real
But then you tried to use the way I feel against me
Make me a yes-girl, you tried to do
Had to free myself, 'cause I can't let you
Get the best of me, no more misery
Had to free myself, 'cause you're not the one for me

And I bet you wish you had my love again
I bet you wish you never made that decision
'Cause now you want me back, I bet you want me back
But when I cried myself to sleep, tell me where were you at?

I should have never let you have my heart
You made me not wanna feel again
Made me scared to open up, but
Now I'm better off, no more bad days
Don't need you to validate me

No more (I don't need you)
No more (I don't need you)
No more (I don't need you)
No more (I don't need you)

No more (I don't need you)
No more (I don't need you)
No more (I don't need you)
No more (I don't need you)
No more

I did everything you asked me to
But nothing was good enough and baby, we're through
You act so arrogant, you act like you're heaven-sent
And I'm not gonna let you get the best of me
Best of me, best of me, best of me, best for me
I'll find someone who loves me for me
For me, loves me for me, loves me for me, loves me for me

I should have never let you have my heart
You made me not wanna feel again
Made me scared to open up, but
Now I'm better off, no more bad days
Don't need you to validate me

No more (I don't need you)
No more (I don't need you)
No more (I don't need you)
No more (I don't need you)

No more (I don't need you)
No more (I don't need you)
No more (I don't need you)
No more (I don't need you)

I should have never let you have my heart
You made me not wanna feel again
Made me scared to open up, but
Now I'm better off, no more bad days
Don't need you to validate me

No more (I don't need you)"
no one else,natalie walker,"Butterflies
Gravity pulls me into
Anticipate our first touch
Sweet and so new
Let's figure out how to make this forever
Oh this is making me crazy

Hey love I am at the point of no restraint
Let's just make a move and feel the earth quake

It's just you and me
And no one else
It's just you and me
You and me

Slowly now
We shouldn't let this go too fast
Bring me out of this shell
Take off my mask
This is us intertwined and on fire
I cannot stop
I'm consumed with desire"
no one,ms. john soda,"Number one.
Number two...
Number four...

The things you said... forgotten
Did you say we are alike?
The things you said... forgotten.
What did you say?

Number five
Number six
Number eight

The things i said... forgotten
Did i say we are alone?
The things i said... forgotten
What did i say?

I wanna know...
I can't remember...
I can't rewind...
Nor recall...

Number nine
Number ten
Eleven

Some things some times go wrong
Don't long for something that is gone
Don't try to bring it back
Don't try to understand

One second i thought... What?
Two seconds later... forgotten

Do you know?
Do you care?
Do you remember?

I wanna know...
I can't remember...
I can't rewind...
Nor recall..."
no ordinary love,sade,"I gave you all the love I got
I gave you more than I could give
Gave you love

I gave you all that I have inside
And you took my love
You took my love

Didn't I tell you
What I believe?
Did somebody say that
A love like that won't last?

Didn't I give you
All that I've got to give, baby?

I gave you all the love I got
I gave you more than I could give
Gave you love

I gave you all that I have inside
And you took my love
You took my love

I keep crying
I keep trying for you
There's nothing like you and I, baby

This is no ordinary love
No ordinary love
This is no ordinary love
No ordinary love

When you came my way
You brightened every day
With your sweet smile

Didn't I tell you
What I believe
Did somebody say that
A love like that won't last
Didn't I give you
All that I've got to give, baby

This is no ordinary love
No ordinary love
This is no ordinary love
No ordinary love

I keep crying
I keep trying for you
There's nothing like you and I, baby

This is no ordinary love
No ordinary Love
This is no ordinary love
No ordinary Love

Keep trying for you
Keep crying for you
Keep lying for you
Keep flying and I'm falling

And I'm falling

Keep trying for you
Keep crying for you
Keep lying for you
Keep flying and I'm falling

And I'm falling"
no other way,jack johnson,"When your mind is a mess, so is mine, I can't sleep
'Cause it hurts when I think, my thoughts aren't at peace
With the plans that we make, chances we take
They're not yours, they're not mine
There's waves that can't break
All the words that we said and the words that we mean
Words can fall short, can't see the unseen
'Cause the world is awake for somebody's sake
Now please close your eyes, woman, please get some sleep
And know that if I knew all of the answers
I would not hold them from you
Know all of the things that I know
We told each other there is no other way
Mm-mmm-mmm
Well, too much silence can be misleading
You're drifting, I can hear it in the way that you're breathing
We don't really need to find reason
'Cause out the same door that it came
Well, it's leaving, it's leaving
Leaving like a day that's done a part of a season
Resolve is just a concept that's just dead as the leaves
But at least we could sleep, it's all that we need
When we wake we would find our minds would be free to go to sleep
And know that if I knew all of the answers
I would not hold them from you
Know all of the things that I know
'Cause we told each other there is no other way
Mm-mmm-mmm"
no respect,extreme,"Respect
Always everybody looking for some
Respect
Who do you think you're gonna get it from?

Respect
Anybody here deserving of none
Respect
So tell me, what makes you think
You're not the one

No respect, no respect, none
No respect, no respect, none
No respect, no respect, none
No respect, no respect, none

Respect
Why be concerned with public adulation
Respect
Pat on the back crying for attention

Respect
Finding out what it really means to me
Respect
Honor comes only after humility

No respect, no respect, none
No respect, no respect, none
No respect, no respect, none
No respect, no respect, none

No respect, no respect, none
No respect, no respect, none
No respect, no respect, none
No respect, no respect, none

No respect, no respect, none
No respect, no respect, none
No respect, no respect, none
No respect, no respect, none

No, no, no, no, no
No respect"
no surprises,radiohead,"A heart that's full up like a landfill
A job that slowly kills you
Bruises that won't heal

You look so tired, unhappy
Bring down the government
They don't, they don't speak for us

I'll take a quiet life
A handshake of carbon monoxide
No alarms and no surprises
No alarms and no surprises
No alarms and no surprises
Silent
Silent

This is my final fit
My final bellyache with
No alarms and no surprises
No alarms and no surprises
No alarms and no surprises, please

Such a pretty house
And such a pretty garden
No alarms and no surprises
No alarms and no surprises
No alarms and no surprises, please"
no surprise,radiohead,"A heart that's full up like a landfill
A job that slowly kills you
Bruises that won't heal

You look so tired, unhappy
Bring down the government
They don't, they don't speak for us

I'll take a quiet life
A handshake of carbon monoxide
No alarms and no surprises
No alarms and no surprises
No alarms and no surprises
Silent
Silent

This is my final fit
My final bellyache with
No alarms and no surprises
No alarms and no surprises
No alarms and no surprises, please

Such a pretty house
And such a pretty garden
No alarms and no surprises
No alarms and no surprises
No alarms and no surprises, please"
no way out,anna ternheim,"It's a sign of winter in the middest of June
Nothing left unbroken, someone spoke too soon
Already night falls, not even noon
Someone has been hurt badly in this room

No way out, no way out by forgetting and forgiving now
No way out, no way out now

All the days that ended, all the doors that closed
All the glass is broken, wish you never spoke
It's a sign of winter, your seasons never change
No one left to stay for, nothing left to say

No way out, no way out by forgetting and forgiving now
No way out, no way out now

No way out, no way out by forgetting and forgiving now
No way out, no way out now"
no woman no cry [live],bob marley & the wailers,"No woman, no cry
No woman, no cry
No woman, no cry
No woman, no cry

Say, say
Said I remember when we used to sit
In the government yard in trenchtown
Oba-observing the 'ypocrites
As they would mingle with the good people we meet
Good friends we have, oh, good friends we lost
Along the way
In this great future
You can't forget your past
So dry your tears, I say

No woman, no cry
No woman, no cry
Here little darling, don't shed no tears
No woman no cry

Say, say
Said I remember when we used to sit
In the government yard in Trenchtown
And then Georgie would make the fire light
As if it was log wood burnin' through the night
Then we would cook cornmeal porridge
Of which I'll share with you
My feet is my only carriage
So I've got to push on through
But while I'm gone
Everything 's gonna be alright
Everything 's gonna be alright
Everything 's gonna be alright
Everything 's gonna be alright
I say
Everything 's gonna be alright
Everything 's gonna be alright
Everything 's gonna be alright, yeah
Everything 's gonna be alright

So woman no cry
No, no woman
No woman, no cry
Oh my little sister, don't shed no tears
No woman, no cry

I remember when we used to sit
In the government yard in Trenchtown
And then Georgie would make the fire light
As if it was log wood burnin' through the night
Then we would cook cornmeal porridge
Of which I'll share with you
My feet is my only carriage
So I've got to push on through
But while I'm gone

No woman, no cry
No woman, no cry

Oh my little darling, say don't shed no tears
No woman, no cry
Little darling, don't shed no tears
No woman, no cry
Little sister, don't shed no tears
No woman, no cry"
no words,syleena johnson,"(S. Johnson / I. Barias / C. Haggins / F. Romano)

Just the mere thought of you
Makes me oohwee
And I, I, I, I, I, I
Ooh, ooh, ooh, ooh and
Every time you touch me I
I, I, I, I, I, I, I
Oh
Whoooooa so I
Chorus:
You make me feel so good
That I can't put it in words
And I feel so feel so good
'Bout you tat I can't put it in words

Every since word you say
Hey, hey, hey, hey, hey, hey, hey,
I, I, I, I, I, uh I, I
See and I can't get enough of you 'cause I
Oohhhhhhhoohhhhhhhhhhhhhhh
I I I I I I I I I I I I I I I I I I I I I I I I I

Chorus

I can't find the words to say it
Really I just can't explain it
I don't understand it
But I won't take it for granted
'Cause it makes me feel so good
And I don't know how I could
Let myself overlook it
A love so beautiful and pure

Chorus (x2)

See I don't know what to say about it
And I don't what do about it
So I I I I I I
So I I I I I I
OHHHHH"
nobody home,heart,"Don't run too fast
Like a shot from a gun
Don't jump too high
And knock out the sun
Don't stray too far
Out on your own
When you finally come knocking
When you finally come knocking
There'll be nobody home

Don't pull too hard
Like a kite in the wind
You'll break the string
When I reel you in
Don't take off flying
All on your own
When you finally come knocking
When you finally come knocking
There'll be nobody home
Nobody home

You say you're feeling locked inside
Stuck inside to stay
You wanna fly away
There's really nothing I can do
But to help you make your play
Make your getaway

Don't dream too wild
And shoot for the moon
Don't ride your heart
Like a balloon
Don't blow away
To places unknown
'Cause when you finally coming knocking
When you finally come knocking
There'll be nobody home
Nobody home

Don't run too fast
Like a shot from a gun
Don't jump too high
And knock out the sun
Don't stray too far
Out on your own
'Cause when you finally come knocking
When you finally come knocking
There'll be nobody home
Nobody home

When you finally come knocking
When you finally come knocking
There'll be nobody home
Nobody home

When you finally come knocking
When you finally come knocking
There'll be nobody home
Nobody home"
nobody knows,dark dark dark,"Nobody knows the song that I sing
The song of a sorry gal
Im telling you now
Im telling you now
Im telling you
Im telling you now

Days pass
And my mistakes
My mistakes day
Day's pass
With your face always on my mind
Your face always on my mind
Your face always on my mind

Days pass
And my mistakes
My mistakes day
Days pass
With your face always on my mind
Your face always on my mind
Your face always on my mind

And nobody knows the song that I sing
The song of a sorry gal
Im telling you now
Im telling you now
Im telling you
I'm telling now"
nobody's child,traveling wilburys,"As I was slowly passing
An orphan's home today
I stopped for just a little while
To watch the children play

Alone a boy was standing
And when I asked him why
He turned with eyes that could not see
And he began to cry

I'm nobody's child
I'm nobody's child
Just like a flower
I'm growing wild

No momma's arms to hold me
No daddy's smiles
Nobody wants me
I'm nobody's child

In every town and village
There are places just like this
With rows and rows of children
Babies in their cribs

They've long since stopped their crying
As no one ever hears
And no one's there to notice them
Or take away the fears

Nobody's child
Nobody's child
Just like a flower
They're growing wild

Got no mommy's kisses
And no daddy's smiles
Nobody wants them
They're nobody's child

Nobody's child
They're nobody's child
Just like a flower
They're growing wild

No mommy's kisses
And no daddy's smiles
Nobody wants them
They're nobody's child

Nobody wants them
They're nobody's child"
